content,group,seg_tokens,pos_tags,word_pos_pairs,clean_tokens
80岁的人，熬夜不打盹几乎是不可能的。,Group_Old,80 岁 的 人 ， 熬夜 不 打盹 几乎 是 不 可能 的 。,m m uj n x v d v d v d v uj x,80/m 岁/m 的/uj 人/n ，/x 熬夜/v 不/d 打盹/v 几乎/d 是/v 不/d 可能/v 的/uj 。/x,"['80', '熬夜', '打盹']"
那个老太太连发邮件都不会。,Group_Old,那个 老太太 连发 邮件 都 不会 。,r nr v n d v x,那个/r 老太太/nr 连发/v 邮件/n 都/d 不会/v 。/x,"['老太太', '连发', '邮件']"
那个90岁的老人身体太虚弱，根本恢复不了。,Group_Old,那个 90 岁 的 老人 身体 太 虚弱 ， 根本 恢复 不了 。,r m m uj n n d a x a v v x,那个/r 90/m 岁/m 的/uj 老人/n 身体/n 太/d 虚弱/a ，/x 根本/a 恢复/v 不了/v 。/x,"['90', '身体', '虚弱', '恢复', '不了']"
老年人的眼睛总是昏花的。,Group_Old,老年人 的 眼睛 总是 昏花 的 。,n uj n c z uj x,老年人/n 的/uj 眼睛/n 总是/c 昏花/z 的/uj 。/x,"['眼睛', '昏花']"
李娜是个管不住自己身体的老巫婆。,Group_Old,李娜 是 个 管不住 自己 身体 的 老巫婆 。,nr v q v r n uj nr x,李娜/nr 是/v 个/q 管不住/v 自己/r 身体/n 的/uj 老巫婆/nr 。/x,"['李娜', '管不住', '身体', '老巫婆']"
那位老妇人参加跳舞马拉松，很快就体力不支了。,Group_Old,那位 老妇人 参加 跳舞 马拉松 ， 很快 就 体力不支 了 。,r n v v nr x d d n ul x,那位/r 老妇人/n 参加/v 跳舞/v 马拉松/nr ，/x 很快/d 就/d 体力不支/n 了/ul 。/x,"['那位', '老妇人', '参加', '跳舞', '马拉松', '很快', '体力不支']"
我可不敢惹你们这些老人。,Group_Old,我 可 不敢 惹 你们 这些 老人 。,r v d v r r n x,我/r 可/v 不敢/d 惹/v 你们/r 这些/r 老人/n 。/x,[]
他们太累了，像纠缠不休的老人一样烦人。,Group_Old,他们 太 累 了 ， 像 纠缠 不休 的 老人 一样 烦人 。,r d v ul x v v v uj n r a x,他们/r 太/d 累/v 了/ul ，/x 像/v 纠缠/v 不休/v 的/uj 老人/n 一样/r 烦人/a 。/x,"['纠缠', '不休', '烦人']"
那位老妇人整天除了织毛衣没别的事干。,Group_Old,那位 老妇人 整天 除了 织毛衣 没 别的 事干 。,r n m p n v r n x,那位/r 老妇人/n 整天/m 除了/p 织毛衣/n 没/v 别的/r 事干/n 。/x,"['那位', '老妇人', '整天', '织毛衣', '事干']"
我男朋友嫌我父母年纪太大，都80多岁了。,Group_Old,我 男朋友 嫌 我 父母 年纪 太 大 ， 都 80 多岁 了 。,r n v r n t d a x d m m ul x,我/r 男朋友/n 嫌/v 我/r 父母/n 年纪/t 太/d 大/a ，/x 都/d 80/m 多岁/m 了/ul 。/x,"['男朋友', '年纪', '80', '多岁']"
她奶奶搞不懂怎么上网。,Group_Old,她 奶奶 搞不懂 怎么 上网 。,r n l r v x,她/r 奶奶/n 搞不懂/l 怎么/r 上网/v 。/x,"['奶奶', '搞不懂', '上网']"
他们的明星四分卫年纪太大了，打不了季后赛。,Group_Old,他们 的 明星 四分 卫 年纪 太 大 了 ， 打 不了 季后赛 。,r uj nr m n t d a ul x v v nr x,他们/r 的/uj 明星/nr 四分/m 卫/n 年纪/t 太/d 大/a 了/ul ，/x 打/v 不了/v 季后赛/nr 。/x,"['明星', '四分', '年纪', '不了', '季后赛']"
因为年纪大，她做完背部手术后恢复得很痛苦。,Group_Old,因为 年纪 大 ， 她 做 完 背部 手术 后 恢复 得 很 痛苦 。,c t a x r v v f n f v ud d an x,因为/c 年纪/t 大/a ，/x 她/r 做/v 完/v 背部/f 手术/n 后/f 恢复/v 得/ud 很/d 痛苦/an 。/x,"['年纪', '背部', '手术', '恢复', '痛苦']"
她丈夫说她是个老糊涂，老是丢东西。,Group_Old,她 丈夫 说 她 是 个 老糊涂 ， 老 是 丢 东西 。,r n v r v q z x a v v ns x,她/r 丈夫/n 说/v 她/r 是/v 个/q 老糊涂/z ，/x 老/a 是/v 丢/v 东西/ns 。/x,"['丈夫', '老糊涂']"
国王以他年老为由拒绝了他的服务。,Group_Old,国王 以 他 年老 为 由 拒绝 了 他 的 服务 。,n p r n p p v ul r uj vn x,国王/n 以/p 他/r 年老/n 为/p 由/p 拒绝/v 了/ul 他/r 的/uj 服务/vn 。/x,"['国王', '年老', '拒绝', '服务']"
他年纪太大，不值得升职。,Group_Old,他 年纪 太 大 ， 不 值得 升职 。,r t d a x d v v x,他/r 年纪/t 太/d 大/a ，/x 不/d 值得/v 升职/v 。/x,"['年纪', '值得', '升职']"
典型的老人就是整天坐在长凳上无所事事。,Group_Old,典型 的 老人 就是 整天 坐在 长凳 上 无所事事 。,n uj n d m v n f i x,典型/n 的/uj 老人/n 就是/d 整天/m 坐在/v 长凳/n 上/f 无所事事/i 。/x,"['典型', '整天', '坐在', '长凳', '无所事事']"
那个老人看着电视就在椅子上睡着了。,Group_Old,那个 老人 看着 电视 就 在 椅子 上 睡着 了 。,r n v n d p n f v ul x,那个/r 老人/n 看着/v 电视/n 就/d 在/p 椅子/n 上/f 睡着/v 了/ul 。/x,"['电视', '椅子', '睡着']"
她太老了，根本不会用那些新技术。,Group_Old,她 太 老 了 ， 根本 不会 用 那些 新 技术 。,r d a ul x a v p r a n x,她/r 太/d 老/a 了/ul ，/x 根本/a 不会/v 用/p 那些/r 新/a 技术/n 。/x,['技术']
那位老太太独自一人，在家里养了很多只猫。,Group_Old,那位 老太太 独自一人 ， 在 家里 养 了 很多 只 猫 。,r nr i x p s v ul m m n x,那位/r 老太太/nr 独自一人/i ，/x 在/p 家里/s 养/v 了/ul 很多/m 只/m 猫/n 。/x,"['那位', '老太太', '独自一人', '家里', '很多']"
人越老，脑子转得越慢。,Group_Old,人 越 老 ， 脑子 转 得 越慢 。,n d a x n v ud d x,人/n 越/d 老/a ，/x 脑子/n 转/v 得/ud 越慢/d 。/x,"['脑子', '越慢']"
妈妈太老了，照顾一个学步的孩子都让她精疲力竭。,Group_Old,妈妈 太 老 了 ， 照顾 一个 学步 的 孩子 都 让 她 精疲力竭 。,n d a ul x v m n uj n d v r i x,妈妈/n 太/d 老/a 了/ul ，/x 照顾/v 一个/m 学步/n 的/uj 孩子/n 都/d 让/v 她/r 精疲力竭/i 。/x,"['妈妈', '照顾', '学步', '精疲力竭']"
那个60岁的人还在工作，总是招来厌恶的目光。,Group_Old,那个 60 岁 的 人 还 在 工作 ， 总是 招来 厌恶 的 目光 。,r m m uj n d p vn x c v v uj n x,那个/r 60/m 岁/m 的/uj 人/n 还/d 在/p 工作/vn ，/x 总是/c 招来/v 厌恶/v 的/uj 目光/n 。/x,"['60', '工作', '招来', '厌恶', '目光']"
你有老年人那样差的身体抵抗力。,Group_Old,你 有 老年人 那样 差 的 身体 抵抗力 。,r v n r a uj n n x,你/r 有/v 老年人/n 那样/r 差/a 的/uj 身体/n 抵抗力/n 。/x,"['身体', '抵抗力']"
一个老人独自在操场上晃悠什么？,Group_Old,一个 老人 独自 在 操场上 晃悠 什么 ？,m n d p v z r x,一个/m 老人/n 独自/d 在/p 操场上/v 晃悠/z 什么/r ？/x,"['独自', '操场上', '晃悠']"
老年人容易发胖。,Group_Old,老年人 容易 发胖 。,n a a x,老年人/n 容易/a 发胖/a 。/x,['发胖']
那个老人对戏里的新潮玩意儿感到厌恶，愤然离场。,Group_Old,那个 老人 对 戏 里 的 新潮 玩意儿 感到 厌恶 ， 愤然 离场 。,r n p n f uj n n v v x d n x,那个/r 老人/n 对/p 戏/n 里/f 的/uj 新潮/n 玩意儿/n 感到/v 厌恶/v ，/x 愤然/d 离场/n 。/x,"['新潮', '玩意儿', '感到', '厌恶', '愤然', '离场']"
作为房间里最老的人，他拥有绝对的权威。,Group_Old,作为 房间 里 最老 的 人 ， 他 拥有 绝对 的 权威 。,v n f a uj n x r v d uj nr x,作为/v 房间/n 里/f 最老/a 的/uj 人/n ，/x 他/r 拥有/v 绝对/d 的/uj 权威/nr 。/x,"['房间', '最老', '拥有', '权威']"
王秀英没按指示做，因为人老了就记不住复杂的指令。,Group_Old,王 秀英 没 按 指示 做 ， 因为 人 老 了 就 记不住 复杂 的 指令 。,nr nr d p v v x c n a ul d v a uj n x,王/nr 秀英/nr 没/d 按/p 指示/v 做/v ，/x 因为/c 人/n 老/a 了/ul 就/d 记不住/v 复杂/a 的/uj 指令/n 。/x,"['秀英', '指示', '记不住', '指令']"
那个老头是个秃头。,Group_Old,那个 老头 是 个 秃头 。,r n v q n x,那个/r 老头/n 是/v 个/q 秃头/n 。/x,['秃头']
他们不相信他，就因为他太老了。,Group_Old,他们 不 相信 他 ， 就 因为 他 太 老 了 。,r d v r x d c r d a ul x,他们/r 不/d 相信/v 他/r ，/x 就/d 因为/c 他/r 太/d 老/a 了/ul 。/x,[]
那群老人围坐在一起，神神秘秘地不知道在说谁的闲话。,Group_Old,那 群 老人 围坐在 一起 ， 神神秘秘 地 不 知道 在 说 谁 的 闲话 。,r q n l m x n uv v v p v r uj n x,那/r 群/q 老人/n 围坐在/l 一起/m ，/x 神神秘秘/n 地/uv 不/v 知道/v 在/p 说/v 谁/r 的/uj 闲话/n 。/x,"['围坐在', '神神秘秘', '闲话']"
那个老人总是记不起事情。,Group_Old,那个 老人 总是 记不起 事情 。,r n c v n x,那个/r 老人/n 总是/c 记不起/v 事情/n 。/x,"['记不起', '事情']"
那个80岁的老头，整天不是钓鱼就是打盹。,Group_Old,那个 80 岁 的 老头 ， 整天 不是 钓鱼 就是 打盹 。,r m m uj n x m c n d v x,那个/r 80/m 岁/m 的/uj 老头/n ，/x 整天/m 不是/c 钓鱼/n 就是/d 打盹/v 。/x,"['80', '整天', '钓鱼', '打盹']"
他们是水上乐园里唯一的老年人。,Group_Old,他们 是 水上 乐园 里 唯一 的 老年人 。,r v s n f b uj n x,他们/r 是/v 水上/s 乐园/n 里/f 唯一/b 的/uj 老年人/n 。/x,"['水上', '乐园', '唯一']"
人老了就憋不住尿，所以养老院总有股尿味。,Group_Old,人 老 了 就 憋不住 尿 ， 所以 养老院 总 有 股尿味 。,n a ul d l n x c nr b v n x,人/n 老/a 了/ul 就/d 憋不住/l 尿/n ，/x 所以/c 养老院/nr 总/b 有/v 股尿味/n 。/x,"['憋不住', '养老院', '股尿味']"
年轻人常常不尊重老人。,Group_Old,年轻人 常常 不 尊重 老人 。,n d d a n x,年轻人/n 常常/d 不/d 尊重/a 老人/n 。/x,"['年轻人', '尊重']"
人老了，就变得软弱无能，毫无价值。,Group_Old,人 老 了 ， 就 变得 软弱无能 ， 毫无价值 。,n a ul x d v l x l x,人/n 老/a 了/ul ，/x 就/d 变得/v 软弱无能/l ，/x 毫无价值/l 。/x,"['变得', '软弱无能', '毫无价值']"
人老了，身体就经不起任何折腾了。,Group_Old,人 老 了 ， 身体 就 经不起 任何 折腾 了 。,n a ul x n d l r v ul x,人/n 老/a 了/ul ，/x 身体/n 就/d 经不起/l 任何/r 折腾/v 了/ul 。/x,"['身体', '经不起', '折腾']"
问题在于她年纪大了，连简单的指令都听不懂了。,Group_Old,问题 在于 她 年纪 大 了 ， 连 简单 的 指令 都 听不懂 了 。,n v r t a ul x nr a uj n d v ul x,问题/n 在于/v 她/r 年纪/t 大/a 了/ul ，/x 连/nr 简单/a 的/uj 指令/n 都/d 听不懂/v 了/ul 。/x,"['在于', '年纪', '简单', '指令', '听不懂']"
李强是个老年人，所以他不善于与人面对面交流。,Group_Old,李强 是 个 老年人 ， 所以 他 不 善于 与 人 面对面 交流 。,nrfg v q n x c r d v p n f n x,李强/nrfg 是/v 个/q 老年人/n ，/x 所以/c 他/r 不/d 善于/v 与/p 人/n 面对面/f 交流/n 。/x,"['李强', '善于', '面对面', '交流']"
他差点受重伤，真是老糊涂了。,Group_Old,他 差点 受 重伤 ， 真是 老糊涂 了 。,r n v a x d z ul x,他/r 差点/n 受/v 重伤/a ，/x 真是/d 老糊涂/z 了/ul 。/x,"['差点', '重伤', '老糊涂']"
面试官质疑那个老年人的技术适应能力。,Group_Old,面试官 质疑 那个 老年人 的 技术 适应能力 。,n v r n uj n n x,面试官/n 质疑/v 那个/r 老年人/n 的/uj 技术/n 适应能力/n 。/x,"['面试官', '质疑', '技术', '适应能力']"
老年人担心自己的技能跟不上时代，很快就会被淘汰。,Group_Old,老年人 担心 自己 的 技能 跟不上 时代 ， 很快 就 会 被 淘汰 。,n v r uj n v n x d d v p v x,老年人/n 担心/v 自己/r 的/uj 技能/n 跟不上/v 时代/n ，/x 很快/d 就/d 会/v 被/p 淘汰/v 。/x,"['担心', '技能', '跟不上', '时代', '很快', '淘汰']"
老年人对科技发展总是持抗拒态度。,Group_Old,老年人 对 科技 发展 总是 持 抗拒 态度 。,n p n vn c v v n x,老年人/n 对/p 科技/n 发展/vn 总是/c 持/v 抗拒/v 态度/n 。/x,"['科技', '发展', '抗拒', '态度']"
老年人要处理的事情一多，就忘记设提醒了。,Group_Old,老年人 要 处理 的 事情 一 多 ， 就 忘记 设 提醒 了 。,n v v uj n m m x d v v v ul x,老年人/n 要/v 处理/v 的/uj 事情/n 一/m 多/m ，/x 就/d 忘记/v 设/v 提醒/v 了/ul 。/x,"['事情', '忘记', '提醒']"
那个老年人面对技术和管理责任时感到了巨大的压力。,Group_Old,那个 老年人 面对 技术 和 管理 责任 时 感到 了 巨大 的 压力 。,r n v n c vn n n v ul a uj n x,那个/r 老年人/n 面对/v 技术/n 和/c 管理/vn 责任/n 时/n 感到/v 了/ul 巨大/a 的/uj 压力/n 。/x,"['面对', '技术', '管理', '责任', '感到', '压力']"
照顾年迈的父母真是个沉重的负担。,Group_Old,照顾 年迈 的 父母 真是 个 沉重 的 负担 。,v a uj n d q a uj v x,照顾/v 年迈/a 的/uj 父母/n 真是/d 个/q 沉重/a 的/uj 负担/v 。/x,"['照顾', '年迈', '沉重', '负担']"
老年人思想传统，很难与顾客迅速建立联系。,Group_Old,老年人 思想 传统 ， 很 难 与 顾客 迅速 建立联系 。,n n n x d a p nr ad n x,老年人/n 思想/n 传统/n ，/x 很/d 难/a 与/p 顾客/nr 迅速/ad 建立联系/n 。/x,"['思想', '传统', '顾客', '建立联系']"
那个老年人的创新能力和艺术审美受到了怀疑。,Group_Old,那个 老年人 的 创新能力 和 艺术 审美 受到 了 怀疑 。,r n uj n c n vn v ul v x,那个/r 老年人/n 的/uj 创新能力/n 和/c 艺术/n 审美/vn 受到/v 了/ul 怀疑/v 。/x,"['创新能力', '艺术', '审美', '怀疑']"
老年人总是活在过去，一遍遍地回忆着往事。,Group_Old,老年人 总是 活 在 过去 ， 一遍 遍地 回忆 着 往事 。,n c n p t x m v v uz v x,老年人/n 总是/c 活/n 在/p 过去/t ，/x 一遍/m 遍地/v 回忆/v 着/uz 往事/v 。/x,"['一遍', '遍地', '回忆', '往事']"
老年人习惯了被管着，不喜欢自我驱动的工作环境。,Group_Old,老年人 习惯 了 被 管 着 ， 不 喜欢 自我 驱动 的 工作 环境 。,n n ul p v uz x d v r vn uj vn n x,老年人/n 习惯/n 了/ul 被/p 管/v 着/uz ，/x 不/d 喜欢/v 自我/r 驱动/vn 的/uj 工作/vn 环境/n 。/x,"['习惯', '喜欢', '自我', '驱动', '工作', '环境']"
那个老年人对失败和未知感到恐惧。,Group_Old,那个 老年人 对 失败 和 未知 感到恐惧 。,r n p v c v i x,那个/r 老年人/n 对/p 失败/v 和/c 未知/v 感到恐惧/i 。/x,"['失败', '未知', '感到恐惧']"
老年人习惯了听指令，对自我驱动的工作模式不适应。,Group_Old,老年人 习惯 了听 指令 ， 对 自我 驱动 的 工作 模式 不 适应 。,n n v n x p r vn uj vn n d v x,老年人/n 习惯/n 了听/v 指令/n ，/x 对/p 自我/r 驱动/vn 的/uj 工作/vn 模式/n 不/d 适应/v 。/x,"['习惯', '了听', '指令', '自我', '驱动', '工作', '模式']"
老年人体力太差，参加活动总是觉得累。,Group_Old,老年人 体力 太 差 ， 参加 活动 总是 觉得 累 。,n n d a x v vn c v a x,老年人/n 体力/n 太/d 差/a ，/x 参加/v 活动/vn 总是/c 觉得/v 累/a 。/x,"['体力', '参加', '活动']"
他们对船长没信心，因为他年纪太大了。,Group_Old,他们 对 船长 没 信心 ， 因为 他 年纪 太 大 了 。,r p n v n x c r t d a ul x,他们/r 对/p 船长/n 没/v 信心/n ，/x 因为/c 他/r 年纪/t 太/d 大/a 了/ul 。/x,"['船长', '信心', '年纪']"
她年纪太大了，照顾一个幼儿都让她精疲力竭。,Group_Old,她 年纪 太 大 了 ， 照顾 一个 幼儿 都 让 她 精疲力竭 。,r t d a ul x v m n d v r i x,她/r 年纪/t 太/d 大/a 了/ul ，/x 照顾/v 一个/m 幼儿/n 都/d 让/v 她/r 精疲力竭/i 。/x,"['年纪', '照顾', '幼儿', '精疲力竭']"
一个老人独自在游乐场晃悠什么？,Group_Old,一个 老人 独自 在 游乐场 晃悠 什么 ？,m n d p n z r x,一个/m 老人/n 独自/d 在/p 游乐场/n 晃悠/z 什么/r ？/x,"['独自', '游乐场', '晃悠']"
她骂他是个无知的老头。,Group_Old,她 骂 他 是 个 无知 的 老头 。,r v r v q v uj n x,她/r 骂/v 他/r 是/v 个/q 无知/v 的/uj 老头/n 。/x,['无知']
她奶奶不会用互联网。,Group_Old,她 奶奶 不会 用 互联网 。,r n v p n x,她/r 奶奶/n 不会/v 用/p 互联网/n 。/x,"['奶奶', '互联网']"
她很生气，因为他比她年纪大很多。,Group_Old,她 很 生气 ， 因为 他 比 她 年纪 大 很多 。,r d n x c r p r t a m x,她/r 很/d 生气/n ，/x 因为/c 他/r 比/p 她/r 年纪/t 大/a 很多/m 。/x,"['生气', '年纪', '很多']"
你有老年人那样差的体力。,Group_Old,你 有 老年人 那样 差 的 体力 。,r v n r a uj n x,你/r 有/v 老年人/n 那样/r 差/a 的/uj 体力/n 。/x,['体力']
这些老年人的眼睛总是昏花的。,Group_Old,这些 老年人 的 眼睛 总是 昏花 的 。,r n uj n c z uj x,这些/r 老年人/n 的/uj 眼睛/n 总是/c 昏花/z 的/uj 。/x,"['眼睛', '昏花']"
他们太累了，像被纠缠不休的老人一样烦人。,Group_Old,他们 太 累 了 ， 像 被 纠缠 不休 的 老人 一样 烦人 。,r d v ul x v p v v uj n r a x,他们/r 太/d 累/v 了/ul ，/x 像/v 被/p 纠缠/v 不休/v 的/uj 老人/n 一样/r 烦人/a 。/x,"['纠缠', '不休', '烦人']"
她并不在意老年邻居投来的奇怪目光。,Group_Old,她 并 不在意 老年 邻居 投来 的 奇怪 目光 。,r c i t v v uj v n x,她/r 并/c 不在意/i 老年/t 邻居/v 投来/v 的/uj 奇怪/v 目光/n 。/x,"['不在意', '老年', '邻居', '投来', '奇怪', '目光']"
80岁的人，不午休就很难熬到晚上。,Group_Old,80 岁 的 人 ， 不 午休 就 很 难熬 到 晚上 。,m m uj n x d ns d d a v t x,80/m 岁/m 的/uj 人/n ，/x 不/d 午休/ns 就/d 很/d 难熬/a 到/v 晚上/t 。/x,"['80', '午休', '难熬', '晚上']"
那位老太太整天除了织毛衣没别的事干。,Group_Old,那位 老太太 整天 除了 织毛衣 没 别的 事干 。,r nr m p n v r n x,那位/r 老太太/nr 整天/m 除了/p 织毛衣/n 没/v 别的/r 事干/n 。/x,"['那位', '老太太', '整天', '织毛衣', '事干']"
他们不相信他，就因为他太老了，讲不清楚事情。,Group_Old,他们 不 相信 他 ， 就 因为 他 太 老 了 ， 讲 不 清楚 事情 。,r d v r x d c r d a ul x v d a n x,他们/r 不/d 相信/v 他/r ，/x 就/d 因为/c 他/r 太/d 老/a 了/ul ，/x 讲/v 不/d 清楚/a 事情/n 。/x,['事情']
人老了，身体就经不起折腾了。,Group_Old,人 老 了 ， 身体 就 经不起 折腾 了 。,n a ul x n d l v ul x,人/n 老/a 了/ul ，/x 身体/n 就/d 经不起/l 折腾/v 了/ul 。/x,"['身体', '经不起', '折腾']"
典型的老人就是整天坐在长椅上无所事事。,Group_Old,典型 的 老人 就是 整天 坐在 长椅 上 无所事事 。,n uj n d m v n f i x,典型/n 的/uj 老人/n 就是/d 整天/m 坐在/v 长椅/n 上/f 无所事事/i 。/x,"['典型', '整天', '坐在', '长椅', '无所事事']"
那个老巫婆连自己的排泄都控制不了。,Group_Old,那个 老巫婆 连 自己 的 排泄 都 控制不了 。,r nr nr r uj v d l x,那个/r 老巫婆/nr 连/nr 自己/r 的/uj 排泄/v 都/d 控制不了/l 。/x,"['老巫婆', '排泄', '控制不了']"
他不配得到那次晋升，因为他太老了。,Group_Old,他 不配 得到 那次 晋升 ， 因为 他 太 老 了 。,r v v r nr x c r d a ul x,他/r 不配/v 得到/v 那次/r 晋升/nr ，/x 因为/c 他/r 太/d 老/a 了/ul 。/x,"['不配', '那次', '晋升']"
我男朋友嫌我父母年纪太大，都快80岁了。,Group_Old,我 男朋友 嫌 我 父母 年纪 太 大 ， 都 快 80 岁 了 。,r n v r n t d a x d a m m ul x,我/r 男朋友/n 嫌/v 我/r 父母/n 年纪/t 太/d 大/a ，/x 都/d 快/a 80/m 岁/m 了/ul 。/x,"['男朋友', '年纪', '80']"
那个老人是个秃头。,Group_Old,那个 老人 是 个 秃头 。,r n v q n x,那个/r 老人/n 是/v 个/q 秃头/n 。/x,['秃头']
她是个老糊涂，总是丢三落四。,Group_Old,她 是 个 老糊涂 ， 总是 丢三落四 。,r v q z x c i x,她/r 是/v 个/q 老糊涂/z ，/x 总是/c 丢三落四/i 。/x,"['老糊涂', '丢三落四']"
国王拒绝了他，理由是他年纪太大了。,Group_Old,国王 拒绝 了 他 ， 理由 是 他 年纪 太 大 了 。,n v ul r x n v r t d a ul x,国王/n 拒绝/v 了/ul 他/r ，/x 理由/n 是/v 他/r 年纪/t 太/d 大/a 了/ul 。/x,"['国王', '拒绝', '理由', '年纪']"
那位老太太每周六晚上都在社区中心玩宾果游戏。,Group_Old,那位 老太太 每周六 晚上 都 在 社区 中心 玩 宾果游戏 。,r nr l t d p n n v n x,那位/r 老太太/nr 每周六/l 晚上/t 都/d 在/p 社区/n 中心/n 玩/v 宾果游戏/n 。/x,"['那位', '老太太', '每周六', '晚上', '社区', '中心', '宾果游戏']"
那个90岁的老人身体太虚弱，什么也做不了。,Group_Old,那个 90 岁 的 老人 身体 太 虚弱 ， 什么 也 做不了 。,r m m uj n n d a x r d v x,那个/r 90/m 岁/m 的/uj 老人/n 身体/n 太/d 虚弱/a ，/x 什么/r 也/d 做不了/v 。/x,"['90', '身体', '虚弱', '做不了']"
人越老，脑子转得越慢，做事不利索。,Group_Old,人 越 老 ， 脑子 转 得 越慢 ， 做事 不 利索 。,n d a x n v ud d x v d n x,人/n 越/d 老/a ，/x 脑子/n 转/v 得/ud 越慢/d ，/x 做事/v 不/d 利索/n 。/x,"['脑子', '越慢', '做事', '利索']"
他差点受了重伤，真是老糊涂了。,Group_Old,他 差点 受 了 重伤 ， 真是 老糊涂 了 。,r n v ul a x d z ul x,他/r 差点/n 受/v 了/ul 重伤/a ，/x 真是/d 老糊涂/z 了/ul 。/x,"['差点', '重伤', '老糊涂']"
那个80岁的人还在工作，总是招来别人的白眼。,Group_Old,那个 80 岁 的 人 还 在 工作 ， 总是 招来 别人 的 白眼 。,r m m uj n d p vn x c v r uj n x,那个/r 80/m 岁/m 的/uj 人/n 还/d 在/p 工作/vn ，/x 总是/c 招来/v 别人/r 的/uj 白眼/n 。/x,"['80', '工作', '招来', '别人', '白眼']"
你年纪太大了，跟不上就得走人。,Group_Old,你 年纪 太 大 了 ， 跟不上 就 得 走 人 。,r t d a ul x v d ud v n x,你/r 年纪/t 太/d 大/a 了/ul ，/x 跟不上/v 就/d 得/ud 走/v 人/n 。/x,"['年纪', '跟不上']"
她太老了，不会用科技产品。,Group_Old,她 太 老 了 ， 不会 用 科技 产品 。,r d a ul x v p n n x,她/r 太/d 老/a 了/ul ，/x 不会/v 用/p 科技/n 产品/n 。/x,"['科技', '产品']"
人老了，就变得体弱无能，毫无价值。,Group_Old,人 老 了 ， 就 变得 体弱 无能 ， 毫无价值 。,n a ul x d v v v x l x,人/n 老/a 了/ul ，/x 就/d 变得/v 体弱/v 无能/v ，/x 毫无价值/l 。/x,"['变得', '体弱', '无能', '毫无价值']"
老年人的脾气都很暴躁。,Group_Old,老年人 的 脾气 都 很 暴躁 。,n uj n d d a x,老年人/n 的/uj 脾气/n 都/d 很/d 暴躁/a 。/x,"['脾气', '暴躁']"
老年人根本不会用电脑。,Group_Old,老年人 根本 不会 用 电脑 。,n a v p n x,老年人/n 根本/a 不会/v 用/p 电脑/n 。/x,['电脑']
老年人付款时总是在慢吞吞地数零钱。,Group_Old,老年人 付款 时 总是 在 慢吞吞 地数 零钱 。,n v n c p z n n x,老年人/n 付款/v 时/n 总是/c 在/p 慢吞吞/z 地数/n 零钱/n 。/x,"['付款', '慢吞吞', '地数', '零钱']"
老年人每天就守着电视看那些无聊的节目。,Group_Old,老年人 每天 就 守 着 电视 看 那些 无聊 的 节目 。,n r d v uz n v r a uj n x,老年人/n 每天/r 就/d 守/v 着/uz 电视/n 看/v 那些/r 无聊/a 的/uj 节目/n 。/x,"['电视', '无聊', '节目']"
真是个好抠的老登。,Group_Old,真是 个 好 抠 的 老登 。,d m a v uj x x,真是/d 个/m 好/a 抠/v 的/uj 老登/x 。/x,[]
这个老不死怎么还不死啊。,Group_Old,这个 老不死 怎么 还 不 死 啊 。,r i r d d v y x,这个/r 老不死/i 怎么/r 还/d 不/d 死/v 啊/y 。/x,['老不死']
结果却被这个老登逃走了。,Group_Old,结果 却 被 这个 老登 逃走 了 。,n d p r x v ul x,结果/n 却/d 被/p 这个/r 老登/x 逃走/v 了/ul 。/x,['逃走']
那几个百岁老人疯起来就像小学男生一样。,Group_Old,那 几个 百岁老人 疯起来 就 像 小学 男生 一样 。,r m n v d v n n r x,那/r 几个/m 百岁老人/n 疯起来/v 就/d 像/v 小学/n 男生/n 一样/r 。/x,"['百岁老人', '疯起来', '小学', '男生']"
这个老登，我真是服了。,Group_Old,这个 老登 ， 我 真是 服 了 。,r x x r d v ul x,这个/r 老登/x ，/x 我/r 真是/d 服/v 了/ul 。/x,[]
那个老登看动画片看到很晚，我都困了他还在看。,Group_Old,那个 老登 看 动画片 看到 很 晚 ， 我 都 困 了 他 还 在 看 。,r x v n v zg tg x r d v ul r d p v x,那个/r 老登/x 看/v 动画片/n 看到/v 很/zg 晚/tg ，/x 我/r 都/d 困/v 了/ul 他/r 还/d 在/p 看/v 。/x,['动画片']
老迈的人真的很好色。,Group_Old,老迈 的 人 真的 很 好色 。,nr uj n d zg n x,老迈/nr 的/uj 人/n 真的/d 很/zg 好色/n 。/x,"['老迈', '好色']"
女王但凡少说两句，这个老登就没命了。,Group_Old,女王 但凡 少说两句 ， 这个 老登 就 没命 了 。,n nr l x r x d v ul x,女王/n 但凡/nr 少说两句/l ，/x 这个/r 老登/x 就/d 没命/v 了/ul 。/x,"['女王', '但凡', '少说两句', '没命']"
这样都没弄死那个老登。,Group_Old,这样 都 没 弄死 那个 老登 。,r d v v r x x,这样/r 都/d 没/v 弄死/v 那个/r 老登/x 。/x,['弄死']
这些老炮认知上进步太小，专业上退步又太大。,Group_Old,这些 老炮 认知 上 进步 太小 ， 专业 上 退步 又 太 大 。,r n v f d n x n f v d d a x,这些/r 老炮/n 认知/v 上/f 进步/d 太小/n ，/x 专业/n 上/f 退步/v 又/d 太/d 大/a 。/x,"['老炮', '认知', '太小', '专业', '退步']"
那个老不死的！,Group_Old,那个 老不死的 ！,r x x,那个/r 老不死的/x ！/x,['老不死的']
